ts	host	label	gpu	exit	peak_vram_mib	train_loss	val_loss	val_acc	csv
2026-07-24 14:02:44	blue	topksweep_b75_L1024_topk16_seed0	0	0	2347.51904296875	0.5508027118593455	0.48791918784263544	0.7597956657409668	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk16_seed0.csv
2026-07-24 14:05:58	blue	topksweep_b75_L1024_topk32_seed0	1	0	2351.65576171875	0.5205981783941388	0.37633929873118177	0.8217825889587402	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk32_seed0.csv
2026-07-24 14:25:34	blue	topksweep_b75_L1024_topk16_seed1	0	0	2349.01904296875	0.5569196132943034	0.41794740056502633	0.7983484268188477	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk16_seed1.csv
2026-07-24 14:31:54	blue	topksweep_b75_L1024_topk32_seed1	1	0	2351.65576171875	0.5221546249911189	0.3864245515142102	0.8166298866271973	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk32_seed1.csv
2026-07-24 14:49:04	blue	topksweep_b75_L1024_topk16_seed2	0	0	2349.01904296875	0.5460359639748931	0.42737655036034994	0.7927098274230957	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk16_seed2.csv
2026-07-24 14:57:54	blue	topksweep_b75_L1024_topk32_seed2	1	0	2351.65576171875	0.5085651114508509	0.3892423436627723	0.8160305023193359	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk32_seed2.csv
2026-07-24 15:12:20	blue	topksweep_b75_L1024_topk64_seed0	0	0	2360.20703125	0.48673818264901636	0.32465871567546856	0.8502039909362793	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk64_seed0.csv
2026-07-24 15:23:53	blue	topksweep_b75_L1024_topk128_seed0	1	0	2377.66943359375	0.44982365106791256	0.3329689521633554	0.8431925773620605	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk128_seed0.csv
2026-07-24 15:35:43	blue	topksweep_b75_L1024_topk64_seed1	0	0	2360.20703125	0.48231637736037375	0.3316077638301067	0.8482222557067871	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk64_seed1.csv
2026-07-24 15:49:54	blue	topksweep_b75_L1024_topk128_seed1	1	0	2377.66943359375	0.45191887268051506	0.34410759567981586	0.8411130905151367	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk128_seed1.csv
2026-07-24 15:59:06	blue	topksweep_b75_L1024_topk64_seed2	0	0	2360.20703125	0.4664542946740985	0.321503100625705	0.8518023490905762	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk64_seed2.csv
2026-07-24 16:15:58	blue	topksweep_b75_L1024_topk128_seed2	1	0	2377.66943359375	0.4409598966911435	0.2889651711448096	0.8684463500976562	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk128_seed2.csv
2026-07-24 16:22:20	blue	topksweep_b75_L1024_topk256_seed0	0	0	2407.68994140625	0.39386159228906037	0.3667177271709079	0.8360409736633301	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk256_seed0.csv
2026-07-24 16:42:02	blue	topksweep_b75_L1024_topk512_seed0	1	0	2374.68310546875	0.3520331903807819	0.19464430985681247	0.9133949279785156	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk512_seed0.csv
2026-07-24 16:45:31	blue	topksweep_b75_L1024_topk256_seed1	0	0	2407.68994140625	0.4026921298094094	0.24943754785635974	0.8863177299499512	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk256_seed1.csv
2026-07-24 17:07:51	blue	topksweep_b75_L1024_topk512_seed1	1	0	2374.68310546875	0.3656290755942464	0.27951352782110916	0.8716645240783691	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk512_seed1.csv
2026-07-24 17:08:29	blue	topksweep_b75_L1024_topk256_seed2	0	0	2407.68994140625	0.39374690505862237	0.24426380323711783	0.8897647857666016	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk256_seed2.csv
2026-07-24 17:31:41	blue	topksweep_b75_L1024_topk1023_seed0	0	0	2346.6513671875	0.3040281105898321	0.15700996608575224	0.9299392700195312	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk1023_seed0.csv
2026-07-24 17:33:53	blue	topksweep_b75_L1024_topk512_seed2	1	0	2374.68310546875	0.37137888983264566	0.29555516893742606	0.8612871170043945	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk512_seed2.csv
2026-07-24 17:54:50	blue	topksweep_b75_L1024_topk1023_seed1	0	0	2346.6513671875	0.30612667979020625	0.20513954423222458	0.9053735733032227	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk1023_seed1.csv
2026-07-24 18:17:52	blue	topksweep_b75_L1024_topk1023_seed2	0	0	2346.6513671875	0.29086931523680687	0.14647064406744903	0.9346475601196289	out/lca_cmp/topksweep/b75/L1024/topksweep_b75_L1024_topk1023_seed2.csv
